"rank","title","artist"
"1","La Notte","Arisa"
"2","Caruso","Lucio Dalla"
"3","Ai Se Eu Te Pego","Michel Telo"
"4","Non E L'inferno","Emma"
"5","Sono Solo Parole","Noemi"
"6","Titanium","David Guetta & Sia"
"7","Somebody That I Used To Know","Gotye & Kimbra"
"8","Per Sempre","Nina Zilli"
"9","Tacata","Romano & Sapienza"
"10","Ci Vediamo A Casa","Dolcenera"
"11","L'anno Che Verra","Lucio Dalla"
"12","Give Me All Your Luvin'","Madonna, Nicki Minaj & M.I.A."
"13","Tappeto Di Fragole","Moda"
"14","We Found Love","Rihanna & Calvin Harris"
"15","Sara Possibile","Nicole Tuzii"
"16","These Boots Are Made For Walkin","Planet Funk"
"17","Moves Like Jagger","Maroon 5 & Christina Aguilera"
"18","Unica","Antonello Venditti"
"19","L'Amore E Una Cosa Semplice","Tiziano Ferro"
"20","F*** With You","Bob Sinclar & Sophie Ellis-Bextor"
