"rank","title","artist"
"1","Superclassico","Ernia"
"2","Destri","Gazzelle"
"3","Altalene","Bloody Vinyl, Slait, Tha Supreme & Mara Sattei, Coez"
"4","A Un Passo Dalla Luna","Rocco Hunt & Ana Mena"
"5","Hypnotized","Purple Disco Machine & Sophie And The Giants"
"6","Bella Storia","Fedez"
"7","Head & Heart","Joel Corry & MNEK"
"8","Mood","24kGoldn & Iann Dior"
"9","Chico","Gue Pequeno, Rose Villain & Luche"
"10","Slatt","Rondodasosa & Capo Plaza"
"11","22 Settembre","Ultimo"
"12","Karaoke","Boomdabash & Alessandra Amoroso"
"13","Paloma","Fred De Palma & Anitta"
"14","M' Manc","Shablo, Geolier & Sfera Ebbasta"
"15","Jerusalema","Master KG, Burna Boy & Nomcebo Zikode"
"16","La Storia Infinita","Pinguini Tattici Nucleari"
"17","X 1 Mex","Bloody Vinyl, Slait, Tha Supreme, Young Miles & Dani Faiv"
"18","Te Lo Prometto","Il Tre"
"19","Dorado","Mahmood, Sfera Ebbasta & Feid"
"20","Breaking Me","Topic & A7S"
