"rank";"title";"artist"
"1";"Il Cielo Nella Stanza";"Salmo & Nstasia"
"2";"All I Want For Christmas Is You";"Mariah Carey"
"3";"Torna A Casa";"Maneskin"
"4";"La Fine Del Mondo";"Anastasio"
"5";"Hola (I Say)";"Marco Mengoni & Tom Walker"
"6";"Last Christmas";"Wham!"
"7";"Happy Birthday";"Sfera Ebbasta"
"8";"Se Piovesse Il Tuo Nome";"Elisa"
"9";"90MIN";"Salmo"
"10";"Cabriolet";"Salmo & Sfera Ebbasta"
"11";"Taki Taki";"DJ Snake, Ozuna, Selena Gomez & Cardi B"
"12";"Senza Di Me";"Gemitaiz, Venerus & Franco 126"
"13";"Bohemian Rhapsody";"Queen"
"14";"Los Angeles";"Luna"
"15";"Stai Zitto";"Salmo & Fabri Fibra"
"16";"Cascare Nei Tuoi Occhi";"Ultimo"
"17";"Cambiare Adesso";"Dark Polo Gang"
"18";"Posso";"Carl Brave & Max Gazze"
"19";"Happier";"Marshmello & Bastille"
"20";"Santa Claus Is Coming To Town";"Michael Buble"
