"rank","title","artist"
"1","The Reason Why","Lorenzo Fragola"
"2","Guerriero","Marco Mengoni"
"3","Magnifico","Fedez & Francesca Michielin"
"4","Sayonara","MADH"
"5","Take Me To Church","Hozier"
"6","Bailando","Enrique Iglesias"
"7","My Name","Ilaria"
"8","All'Orizzonte","Mario"
"9","Dangerous","David Guetta & Sam Martin"
"10","Chandelier","Sia"
"11","Tu Non Scordarlo Mai","Le Iene"
"12","Thinking Out Loud","Ed Sheeran"
"13","Fade Out Lines","Avener"
"14","All About That Bass","Meghan Trainor"
"15","Daddy Blues","Emma Morton"
"16","Prayer In C (Robin Schulz Remix)","Lilly Wood & Prick"
"17","I'm An Albatraoz","AronChupa"
"18","I Lived","OneRepublic"
"19","All Of Me","John Legend"
"20","Geronimo","Sheppard"
