"rank","title","artist"
"1","Dragostea Din Tei","Haiducii"
"2","Shut Up","Black Eyed Peas"
"3","My Immortal","Evanescence"
"4","In The Shadows","Rasmus"
"5","Obsesion","Aventura"
"6","I'm Still In Love With You","Sean Paul"
"7","Sunshine","Patrice"
"8","Hey Ya!","Outkast"
"9","Remixed & Revisited","Madonna"
"10","It's My Life","No Doubt"
"11","Broken","Elisa"
"12","Fuori Dal Tunnel","Caparezza"
"13","Life For Rent","Dido"
"14","Luna","Verdena"
"15","Unnamed Feeling","Metallica"
"16","Love Profusion","Madonna"
"17","First Day Of My Life","Rasmus"
"18","Signed, Sealed, Delivered I'm Yours","Blue"
"19","Hit That","Offspring"
"20","Animal","R.E.M."
