"rank","title","artist"
"1","Xdono","Tiziano Ferro"
"2","Can't Get You Out Of My Head","Kylie Minogue"
"3","E Ritorno Da Te","Laura Pausini"
"4","Eternity/Road To Mandalay","Robbie Williams"
"5","Tre Parole","Valeria Rossi"
"6","Infinito","RAF"
"7","Drops Of Jupiter (Tell Me)","Train"
"8","It Takes A Fool To Remain Sane","Ark"
"9","Analyse","Cranberries"
"10","Drowning","Backstreet Boys"
"11","Lady Marmalade","C. Aguilera , Mya & Pink"
"12","Starlight","Supermen Lovers"
"13","Baila","Zucchero"
"14","Inside All The People","Planet Funk"
"15","I Want Love","Elton John"
"16","Let's Dance","Five"
"17","Side","Travis"
"18","Little L","Jamiroquai"
"19","Because I Got High","Afroman"
"20","Boyband","Velvet"
