"rank","title","artist"
"1","Shimbalaye","Maria Gadu"
"2","Danza Kuduro","Don Omar & Lucenzo"
"3","The Sound Of Sunshine","Michael Franti & Spearhead"
"4","Moves Like Jagger","Maroon 5 & Christina Aguilera"
"5","Il Piu' Grande Spettacolo Dopo Il Big Bang","Jovanotti"
"6","Mr. Saxobeat","Alexandra Stan"
"7","Give Me Everything","Pitbull"
"8","Il Mio Giorno Migliore","Giorgia"
"9","Last Friday Night (T.G.I.F.)","Katy Perry"
"10","Set Fire To The Rain","Adele"
"11","Back To Black","Amy Winehouse"
"12","Just Can't Get Enough","Black Eyed Peas"
"13","Rabiosa","Shakira & Pitbull"
"14","Price Tag","Jessie J & B.o.B"
"15","Basta Cosi","Negramaro & Elisa"
"16","California King Bed","Rihanna"
"17","Diamante Lei E Luce Lui","Annalisa"
"18","On The Floor","Jennifer Lopez & Pitbull"
"19","Arrivera","Emma & Moda"
"20","Il Mare Immenso","Giusy Ferreri"
