"rank","title","artist"
"1","L'essenziale","Marco Mengoni"
"2","Just Give Me A Reason","P!nk & Nate Ruess"
"3","Thrift Shop","Macklemore, Ryan Lewis & Wanz"
"4","Pompeii","Bastille"
"5","I Follow Rivers","Lykke Li"
"6","Sotto Casa","Max Gazze"
"7","Business","Gue Pequeno"
"8","Scream & Shout","Will.i.am & Britney Spears"
"9","I See You","Jutty Ranx"
"10","La Nuova Stella Di Broadway","Cesare Cremonini"
"11","Non Passerai","Marco Mengoni"
"12","Amami","Emma"
"13","Musica","Fly Project"
"14","Tensione Evolutiva","Jovanotti"
"15","Ho Hey","Lumineers"
"16","Due Respiri","Chiara"
"17","Harlem Shake","Baauer"
"18","100000 Parole D'Amore","Davide"
"19","One Way Or Another (Teenage Kicks)","One Direction"
"20","Cigno Nero","Fedez & Francesca Michielin"
