"rank";"title";"artist"
"1";"Blun7 A Swishland";"Tha Supreme"
"2";"Dance Monkey";"Tones And I"
"3";"Ritmo";"Black Eyed Peas"
"4";"Ti Volevo Dedicare";"Rocco Hunt, J-AX & Boomdabash"
"5";"Tutto Questo Sei Tu";"Ultimo"
"6";"Fuck 3X";"Tha Supreme"
"7";"Supreme (L'Ego)";"Marracash, Tha Supreme & Sfera Ebbasta"
"8";"Crudelia (I Nervi)";"Marracash"
"9";"Pookie (Remix)";"Aya Nakamura & Capo Plaza"
"10";"Memories";"Maroon 5"
"11";"Don't Start Now";"Dua Lipa"
"12";"Non Avere Paura";"Tommaso Paradiso"
"13";"Bravi A Cadere";"Marracash"
"14";"Una Volta Ancora";"Fred De Palma & Ana Mena"
"15";"Highest In The Room";"Travis Scott"
"16";"Ansia No";"FSK Satellite, Taxi B, Chiello_FSK, Sapobully & Greg Willen"
"17";"Soldi In Nero";"Shiva & Sfera Ebbasta"
"18";"Charles Manson (Buon Natale2)";"Salmo, Dani Faiv & Nitro, Lazza"
"19";"Barrio";"Mahmood"
"20";"Falling";"Trevor Daniel"
