"rank","title","artist"
"1","Skyfall","Adele"
"2","Gangnam Style","PSY"
"3","Diamonds","Rihanna"
"4","One Day/Reckoning Song","Asaf Avidan & The Mojos"
"5","Candy","Robbie Williams"
"6","Tensione Evolutiva","Jovanotti"
"7","Try","P!nk"
"8","Un Angelo Disteso Al Sole","Eros Ramazzotti"
"9","Musica","Fly Project"
"10","Locked Out Of Heaven","Bruno Mars"
"11","She Wolf (Falling To Pieces)","David Guetta & Sia"
"12","Endless Summer","Oceana"
"13","Madness","Muse"
"14","Don't You Worry Child","Swedish House Mafia & John Martin"
"15","She Wolf (Falling To Pieces)","David Guetta & Sia"
"16","Hall Of Fame","Script & Will.i.am"
"17","She Wolf (Falling To Pieces)","David Guetta & Sia"
"18","Troppo Buono","Tiziano Ferro"
"19","Tu Mi Porti Su","Giorgia"
"20","Whistle","Flo Rida"
