"rank","title","artist"
"1","Shape Of You","Ed Sheeran"
"2","Rockabye","Clean Bandit, Sean Paul & Anne-Marie"
"3","Piccole Cose","J-AX & Fedez, Alessandra Amoroso"
"4","Assenzio","J-AX & Fedez, Stash & Levante"
"5","Castle On The Hill","Ed Sheeran"
"6","I Don't Wanna Live Forever","Zayn & Taylor Swift"
"7","Human","Rag'n'Bone Man"
"8","Closer","Chainsmokers & Halsey"
"9","Paris","Chainsmokers"
"10","All Night","Parov Stelar"
"11","Don't Wanna Know","Maroon 5 & Kendrick Lamar"
"12","Let Me Love You","DJ Snake & Justin Bieber"
"13","Chantaje","Shakira & Maluma"
"14","Hear Me Now","Alok, Bruno Martini & Zeeba"
"15","I Feel It Coming","Weeknd & Daft Punk"
"16","Tutto Molto Interessante","Fabio Rovazzi"
"17","Million Reasons","Lady Gaga"
"18","Il Conforto","Tiziano Ferro & Carmen Consoli"
"19","Despacito","Luis Fonsi & Daddy Yankee"
"20","Let's Hurt Tonight","OneRepublic"
