"rank","title","artist"
"1","Jambo","Takagi & Ketra, Omi & Giusy Ferreri"
"2","Ostia Lido","J-AX"
"3","Calipso","Charlie Charles, Sfera Ebbasta, Mahmood & Fabri Fibra"
"4","Dove E Quando","Benji & Fede"
"5","Mambo Salentino","Boomdabash & Alessandra Amoroso"
"6","I Don't Care","Ed Sheeran & Justin Bieber"
"7","Una Volta Ancora","Fred De Palma & Ana Mena"
"8","Old Town Road","Lil Nas X"
"9","Bad Guy","Billie Eilish"
"10","Playa","Baby K"
"11","Con Calma","Daddy Yankee & Snow"
"12","Arrogante","Irama"
"13","Maradona Y Pele","Thegiornalisti"
"14","Someone You Loved","Lewis Capaldi"
"15","Senorita","Shawn Mendes & Camila Cabello"
"16","Calma (Remix)","Pedro Capo & Farruko"
"17","Piece Of Your Heart","Meduza & Goodboys"
"18","Corazon Morado","Elettra Lamborghini"
"19","Veleno 7","Gemitaiz & Madman"
"20","So Cosa Fare","Capo Plaza"
