"rank","title","artist"
"1","Weekend","Club Dogo"
"2","Maracana","Emis Killa"
"3","We Are One (Ole Ola)","Pitbull, Jennifer Lopez & Cludia Leitte"
"4","A Sky Full Of Stars","Coldplay"
"5","Rather Be","Clean Bandit & Jess Glynne"
"6","Dare (La La La)","Shakira"
"7","Un Amore Cosi Grande 2014","Negramaro"
"8","Rimedio","Giacomo Voli"
"9","Addicted To You","Avicii"
"10","Happy","Pharrell Williams"
"11","Changes","Faul"
"12","Non Mi Ami","Giorgia"
"13","Love Never Felt So Good","Michael Jackson"
"14","Sing","Ed Sheeran"
"15","Domani E Un Altro Film","Dear Jack"
"16","Summer","Calvin Harris"
"17","Anche Se Fuori E Inverno","Deborah Iurato"
"18","I Got U","Duke Dumont & Jax Jones"
"19","Waves","Mr Probz"
"20","Il Mio Giorno Piu Bello Nel Mondo","Francesco Renga"
