"rank","title","artist"
"1","Apologize","Timbaland"
"2","Bleeding Love","Leona Lewis"
"3","Baby Let's Play House","Elvis Presley"
"4","Don't Stop The Music","Rihanna"
"5","I'll Be Waiting","Lenny Kravitz"
"6","Fango","Jovanotti"
"7","Niente Paura","Ligabue"
"8","Let Me Out","Ben's Brother"
"9","Fermo Immagine","Monodia"
"10","No One","Alicia Keys"
"11","Wanna Be Startin' Somethin' 2008","Michael Jackson & Akon"
"12","A Te","Jovanotti"
"13","Suicidio D'amore","Gianna Nannini"
"14","Same Mistake","James Blunt"
"15","Dalla Pelle Al Cuore","Antonello Venditti"
"16","What A Fool Believes","Neri Per Caso"
"17","Pumpkin Soup","Kate Nash"
"18","Back To Black","Amy Winehouse"
"19","Hot Stuff (Let's Dance)","Craig David"
"20","Sono Come Tu Mi Vuoi","Irene Grandi"
