"rank";"title";"artist"
"1";"Chiamami Per Nome";"Francesca Michielin & Fedez"
"2";"Zitti E Buoni";"Maneskin"
"3";"Musica Leggerissima";"Colapesce & Dimartino"
"4";"Voce";"Madame"
"5";"La Genesi Del Tuo Colore";"Irama"
"6";"Fiamme Negli Occhi";"Coma Cose"
"7";"Dieci";"Annalisa"
"8";"Mai Dire Mai (La Locura)";"Willie Peyote"
"9";"Parlami";"Fasma & GG"
"10";"Un Milione Di Cose Da Dirti";"Ermal Meta"
"11";"La Canzone Nostra";"Mace, Blanco & Salmo"
"12";"Glicine";"Noemi"
"13";"Amare";"La Rappresentante Di Lista"
"14";"Ora";"Aiello"
"15";"Combat Pop";"Lo Stato Sociale"
"16";"Potevi Fare Di Piu";"Arisa"
"17";"Cuore Amaro";"Gaia"
"18";"Venere E Marte";"Takagi & Ketra, Marco Mengoni & Frah Quintale"
"19";"Santa Marinella";"Fulminacci"
"20";"Ferma A Guardare";"Ernia & Pinguini Tattici Nucleari"
