"rank";"title";"artist"
"1";"E Sempre Bello";"Coez"
"2";"Calma (Remix)";"Pedro Capo & Farruko"
"3";"Per Un Milione";"BoomDaBash"
"4";"Con Calma";"Daddy Yankee & Snow"
"5";"Soldi";"Mahmood"
"6";"Sweet But Psycho";"Ava Max"
"7";"Domenica";"Coez"
"8";"Mademoiselle";"Sfera Ebbasta"
"9";"I Tuoi Particolari";"Ultimo"
"10";"Bad Guy";"Billie Eilish"
"11";"Shallow";"Lady Gaga & Bradley Cooper"
"12";"Mon Cheri";"Rkomi & Sfera Ebbasta"
"13";"Il Cielo Nella Stanza";"Salmo & Nstasia"
"14";"Catene";"Coez"
"15";"Blu";"Rkomi & Elisa"
"16";"Baila Baila Baila";"Ozuna"
"17";"La Luna E La Gatta";"Takagi & Ketra, Tommaso Paradiso, Jovanotti & Calcutta"
"18";"Hola (I Say)";"Marco Mengoni & Tom Walker"
"19";"Mal Di Gola";"Coez"
"20";"Giant";"Calvin Harris & Rag'n'Bone Man"
