"rank";"title";"artist"
"1";"Una Volta Ancora";"Fred De Palma & Ana Mena"
"2";"Dove E Quando";"Benji & Fede"
"3";"Chiasso";"Random & Zenit"
"4";"Barrio";"Mahmood"
"5";"Senorita";"Shawn Mendes & Camila Cabello"
"6";"Margarita";"Elodie & Marracash"
"7";"Non Ci Sto";"Shablo, Marracash & Carl Brave"
"8";"Jambo";"Takagi & Ketra, Omi & Giusy Ferreri"
"9";"Mambo Salentino";"Boomdabash & Alessandra Amoroso"
"10";"Yoshi";"Machete, Dani Faiv, Tha Supreme & Fabri Fibra"
"11";"Arrogante";"Irama"
"12";"Lento";"Boro Boro & Mambolosco"
"13";"Pookie";"Aya Nakamura"
"14";"Loco Contigo";"DJ Snake & J Balvin, Tyga"
"15";"La Hit Dell' Estate";"Shade"
"16";"Ostia Lido";"J-AX"
"17";"Cin Cin";"Alfa & Yanomi"
"18";"Calipso";"Charlie Charles, Sfera Ebbasta, Mahmood & Fabri Fibra"
"19";"China";"Anuel AA, Daddy Yankee, Karol G, J Balvin & Ozuna"
"20";"Playa";"Baby K"
