"rank","title","artist"
"1","Ostia Lido","J-AX"
"2","Calipso","Charlie Charles, Sfera Ebbasta, Mahmood & Fabri Fibra"
"3","I Don't Care","Ed Sheeran & Justin Bieber"
"4","Bad Guy","Billie Eilish"
"5","Jambo","Takagi & Ketra, Omi & Giusy Ferreri"
"6","Old Town Road","Lil Nas X"
"7","Someone You Loved","Lewis Capaldi"
"8","Con Calma","Daddy Yankee & Snow"
"9","Per Un Milione","BoomDaBash"
"10","Calma (Remix)","Pedro Capo & Farruko"
"11","Maradona Y Pele","Thegiornalisti"
"12","Dove E Quando","Benji & Fede"
"13","E Sempre Bello","Coez"
"14","Buona (Cattiva) Sorte","Tiziano Ferro"
"15","Playa","Baby K"
"16","Rondini Al Guinzaglio","Ultimo"
"17","Baila Baila Baila","Ozuna"
"18","Domenica","Coez"
"19","Taki Taki","Dark Polo Gang"
"20","Don't Call Me Up","Mabel"
