"rank";"title";"artist"
"1";"I Don't Care";"Ed Sheeran & Justin Bieber"
"2";"48H";"Izi & Sfera Ebbasta"
"3";"Calipso";"Charlie Charles, Sfera Ebbasta, Mahmood & Fabri Fibra"
"4";"Bad Guy";"Billie Eilish"
"5";"Old Town Road";"Lil Nas X"
"6";"Con Calma";"Daddy Yankee & Snow"
"7";"Calma (Remix)";"Pedro Capo & Farruko"
"8";"Per Un Milione";"BoomDaBash"
"9";"Someone You Loved";"Lewis Capaldi"
"10";"E Sempre Bello";"Coez"
"11";"Weekend";"Izi"
"12";"Sweet But Psycho";"Ava Max"
"13";"La Luna E La Gatta";"Takagi & Ketra, Tommaso Paradiso, Jovanotti & Calcutta"
"14";"Soldi";"Mahmood"
"15";"Rondini Al Guinzaglio";"Ultimo"
"16";"Baila Baila Baila";"Ozuna"
"17";"Mademoiselle";"Sfera Ebbasta"
"18";"Don't Call Me Up";"Mabel"
"19";"Dammi Un Motivo";"Izi"
"20";"Il Cielo Nella Stanza";"Salmo & Nstasia"
