"rank","title","artist"
"1","Stupida","Alessandra Amoroso"
"2","Sentimento","Valerio Scanu"
"3","Sincerita","Arisa"
"4","Come Foglie","Malika Ayane"
"5","Forse Forse","Luca Napolitano"
"6","La Forza Mia","Marco Carta"
"7","Il Regalo Piu Grande","Tiziano Ferro"
"8","Immobile","Alessandra Amoroso"
"9","Poker Face","Lady Gaga"
"10","Il Mio Amore Unico","Dolcenera"
"11","Right Round","Flo Rida"
"12","Love Story (Taylor's Version)","Taylor Swift"
"13","Run","Leona Lewis"
"14","If I Were A Boy","Beyonce Knowles"
"15","The Fear","Lily Allen"
"16","Gioca Con Me","Vasco Rossi"
"17","Poker Face","Lady Gaga"
"18","Dead And Gone","T.I. & Justin Timberlake"
"19","Get On Your Boots","U2"
"20","Il Mio Pensiero","Ligabue"
