"rank","title","artist"
"1","L'essenziale","Marco Mengoni"
"2","I Follow Rivers","Lykke Li"
"3","I See You","Jutty Ranx"
"4","Scream & Shout","Will.i.am & Britney Spears"
"5","Sotto Casa","Max Gazze"
"6","What I Might Do","Ben Pearce"
"7","Se Si Potesse Non Morire","Moda"
"8","Ho Hey","Lumineers"
"9","Pompeii","Bastille"
"10","Non Passerai","Marco Mengoni"
"11","Scelgo Me","Marco Carta"
"12","Tensione Evolutiva","Jovanotti"
"13","One Way Or Another (Teenage Kicks)","One Direction"
"14","Don't You Worry Child","Swedish House Mafia & John Martin"
"15","100000 Parole D'Amore","Davide"
"16","Killer","Baby K & Tiziano Ferro"
"17","Die Young","Ke$ha"
"18","Due Respiri","Chiara"
"19","Un Angelo Disteso Al Sole","Eros Ramazzotti"
"20","Musica","Fly Project"
