"rank","title","artist"
"1","Take Me To Church","Hozier"
"2","Magnifico","Fedez & Francesca Michielin"
"3","Guerriero","Marco Mengoni"
"4","Bailando","Enrique Iglesias"
"5","Dangerous","David Guetta & Sam Martin"
"6","The Reason Why","Lorenzo Fragola"
"7","Thinking Out Loud","Ed Sheeran"
"8","Chandelier","Sia"
"9","All I Want For Christmas Is You","Mariah Carey"
"10","Fade Out Lines","Avener"
"11","Prayer In C (Robin Schulz Remix)","Lilly Wood & Prick"
"12","Sayonara","MADH"
"13","Sabato","Jovanotti"
"14","I'm An Albatraoz","AronChupa"
"15","Animals","Maroon 5"
"16","All About That Bass","Meghan Trainor"
"17","I'm Not The Only One","Sam Smith"
"18","A Modo Tuo","Elisa"
"19","Geronimo","Sheppard"
"20","Stay With Me","Sam Smith"
