"rank","title","artist"
"1","Assenzio","J-AX & Fedez, Stash & Levante"
"2","Human","Rag'n'Bone Man"
"3","Let Me Love You","DJ Snake & Justin Bieber"
"4","Closer","Chainsmokers & Halsey"
"5","Don't Wanna Know","Maroon 5 & Kendrick Lamar"
"6","The Greatest","Sia & Kendrick Lamar"
"7","Potremmo Ritornare","Tiziano Ferro"
"8","Ninna Nanna","Ghali"
"9","Cold Water","Major Lazer, Justin Bieber & MØ"
"10","We Don't Talk Anymore","Charlie Puth & Selena Gomez"
"11","Sai Che","Marco Mengoni"
"12","Starboy","Weeknd & Daft Punk"
"13","My Way","Calvin Harris"
"14","In The Name Of Love","Martin Garrix & Bebe Rexha"
"15","Lost On You","LP"
"16","Cheap Thrills","Sia"
"17","24K Magic","Bruno Mars"
"18","Don't Let Me Down","Chainsmokers & Daya"
"19","Rockabye","Clean Bandit, Sean Paul & Anne-Marie"
"20","Treat You Better","Shawn Mendes"
