"rank","title","artist"
"1","E Sempre Bello","Coez"
"2","Calma (Remix)","Pedro Capo & Farruko"
"3","Sweet But Psycho","Ava Max"
"4","Gang Shit","Dark Polo Gang & Capo Plaza"
"5","I Tuoi Particolari","Ultimo"
"6","Hola (I Say)","Marco Mengoni & Tom Walker"
"7","Il Cielo Nella Stanza","Salmo & Nstasia"
"8","Stamm Fort","Luche & Sfera Ebbasta"
"9","7 Rings","Ariana Grande"
"10","Baila Baila Baila","Ozuna"
"11","La Ragazza Con Il Cuore Di Latta","Irama"
"12","Happier","Marshmello & Bastille"
"13","R8","MadMan"
"14","Torna A Casa","Maneskin"
"15","Mignolo","Madman & Mostro"
"16","Posso","Carl Brave & Max Gazze"
"17","TVTB","Fedez & Dark Polo Gang"
"18","Se Piovesse Il Tuo Nome","Elisa"
"19","Cascare Nei Tuoi Occhi","Ultimo"
"20","Numeri","MadMan"
