"rank","title","artist"
"1","I Soliti","Vasco Rossi"
"2","Shimbalaye","Maria Gadu"
"3","Moves Like Jagger","Maroon 5 & Christina Aguilera"
"4","Solo","Marco Mengoni"
"5","Danza Kuduro","Don Omar & Lucenzo"
"6","The Sound Of Sunshine","Michael Franti & Spearhead"
"7","Give Me Everything","Pitbull"
"8","Saro Libera","Emma"
"9","Il Piu' Grande Spettacolo Dopo Il Big Bang","Jovanotti"
"10","Il Mio Giorno Migliore","Giorgia"
"11","Last Friday Night (T.G.I.F.)","Katy Perry"
"12","Just Can't Get Enough","Black Eyed Peas"
"13","Last Friday Night (T.G.I.F.)","Katy Perry"
"14","Set Fire To The Rain","Adele"
"15","Back To Black","Amy Winehouse"
"16","Rabiosa","Shakira & Pitbull"
"17","Price Tag","Jessie J & B.o.B"
"18","California King Bed","Rihanna"
"19","Basta Cosi","Negramaro & Elisa"
"20","Arrivera","Emma & Moda"
