"rank","title","artist"
"1","Pussy","Dark Polo Gang, Tony Effe, Lazza & Salmo"
"2","Amiri Boys","Dark Polo Gang, Tony Effe & Capo Plaza"
"3","Savage","Dark Polo Gang, Pyrex & Wayne Santana, Tedua"
"4","4L","Dark Polo Gang, Tony Effe & MamboLosco"
"5","Ma Il Cielo E Sempre Blu","Italian Allstars 4life"
"6","Good Times","Ghali"
"7","Dark Love Gang","Dark Polo Gang, Pyrex & Ketama126"
"8","Biberon","Dark Polo Gang, Anna & Drefgold"
"9","Auto Blu","Shiva & Eiffel 65"
"10","Gooba","6ix9ine"
"11","Fiori Di Chernobyl","Mr. Rain"
"12","Death Bed","Powfu & Beabadoobee"
"13","Roses","SAINt JHN"
"14","No Stupid","Dark Polo Gang, Wayne Santana, Boro Boro & Samurai Jay"
"15","Bando","Anna"
"16","Blinding Lights","Weeknd"
"17","Dark","Dark Polo Gang"
"18","#FREETRAFFIK","Dark Polo Gang, Tony Effe & Pyrex, Traffik & Oni One"
"19","Tusa","Karol G & Nicki Minaj"
"20","The Scotts","Travis Scott & Kid Cudi"
