"rank","title","artist"
"1","Faded","Alan Walker"
"2","7 Years","Lukas Graham"
"3","Hymn For The Weekend","Coldplay & Beyonce"
"4","Light It Up","Major Lazer, Nyla & Fuse Odg"
"5","Cheap Thrills","Sia"
"6","Ginza","J Balvin"
"7","Fast Car","Jonas Blue & Dakota"
"8","Stressed Out","Twenty One Pilots"
"9","Work","Rihanna & Drake"
"10","Est-ce Que Tu M`aimes?","Maitre Gims"
"11","Sorry","Justin Bieber"
"12","I Took A Pill In Ibiza","Mike Posner"
"13","No Hero","Elisa"
"14","Stitches","Shawn Mendes"
"15","Cake By The Ocean","DNCE"
"16","Love Yourself","Justin Bieber & Jaden Smith"
"17","Pillowtalk","Zayn Malik"
"18","The Horns","DJ Katch, Greg, Nice, DJ Kool & Deborah Lee"
"19","Take Me Home","Jess Glynne"
"20","Lush Life","Zara Larsson"
