"rank","title","artist"
"1","Domani (21 Aprile 2009)","Artisti Uniti Per L' Abruzzo"
"2","Poker Face","Lady Gaga"
"3","Indietro","Tiziano Ferro"
"4","Jai Ho (You Are My Destiny)","A. R. Rahman & Pussycat Dolls"
"5","Not Fair","Lily Allen"
"6","Halo","Beyonce Knowles"
"7","Boom Boom Pow","Black Eyed Peas"
"8","Lala Song","Bob Sinclar"
"9","Per Dimenticare","Zero Assoluto"
"10","I Know You Want Me (Calle Ocho)","Pitbull"
"11","Parla Con Me","Eros Ramazzotti"
"12","Wonderful","Gary Go"
"13","Love Story (Taylor's Version)","Taylor Swift"
"14","Thriller","Michael Jackson"
"15","Know Your Enemy","Green Day"
"16","L' Amour Toujours","Sagi Rei"
"17","Dopo Di Me","Valerio Scanu"
"18","Come Foglie","Malika Ayane"
"19","Beat It","Michael Jackson"
"20","Dentro Ad Ogni Brivido","Marco Carta"
