"rank","title","artist"
"1","Tre Parole","Valeria Rossi"
"2","Baila","Zucchero"
"3","Infinito","RAF"
"4","Elevation","U2"
"5","It Takes A Fool To Remain Sane","Ark"
"6","Www.mipiacitu","Gazosa"
"7","Crying At The Discoteque","Alcazar"
"8","Lady Marmalade","C. Aguilera , Mya & Pink"
"9","Don't Leave Me Now","Lollipop"
"10","Me Gustas Tu","Manu Chao"
"11","There You'll Be","Faith Hill"
"12","Bucatini Disco Dance","Bonolis & Laurenti"
"13","Scream If You Wanna Go Faster","Geri Halliwell"
"14","Sing","Travis"
"15","It's Raining Men","Geri Halliwell"
"16","I Feel Loved","Depeche Mode"
"17","Ti Prendo E Ti Porto Via","Vasco Rossi"
"18","Starlight","Supermen Lovers"
"19","Bootylicious","Destiny's Child"
"20","Un' Estate Fa","Delta V"
