"rank","title","artist"
"1","No estamos solos (Non Siamo Soli)","Eros Ramazzotti"
"2","Headlines (Friendship Never Ends)","Spice Girls"
"3","Living Darfur","Mattafix"
"4","Vasco Extended Play","Vasco Rossi"
"5","No One","Alicia Keys"
"6","Falling Down","Duran Duran"
"7","Gimme More","Britney Spears"
"8","Taking Chances","Celine Dion"
"9","Baby Love","Nicole Scherzinger"
"10","2 Hearts","Kylie Minogue"
"11","Inconsolable","Backstreet Boys"
"12","The Singles Collection","Vasco Rossi"
"13","Rule The World","Take That"
"14","Into The Night","Santana & Chad Kroeger"
"15","Do It Well","Jennifer Lopez"
"16","Damela Si","Anamor"
"17","Ti Do Di Me","Marco Conidi"
"18","Love Today","Mika"
"19","1973","James Blunt"
"20","Shut Up And Drive","Rihanna"
