"rank","title","artist"
"1","La Musica Non C'e","Coez"
"2","Sconosciuti Da Una Vita","J-AX & Fedez"
"3","Giovane Fuoriclasse","Capo Plaza & Ava"
"4","Rockstar","Post Malone & 21 Savage"
"5","What Lovers Do","Maroon 5 & SZA"
"6","Dusk Till Dawn","Zayn & Sia"
"7","Habibi","Ghali"
"8","Mi Gente","J Balvin & Willy William"
"9","Stavo Pensando A Te","Fabri Fibra"
"10","Havana","Camila Cabello & Young Thug"
"11","Me Rehuso","Danny Ocean"
"12","Perfect","Ed Sheeran"
"13","Faccio Un Casino","Coez"
"14","New Rules","Dua Lipa"
"15","What About Us","P!nk"
"16","Lamborghini","Gue Pequeno & Sfera Ebbasta"
"17","Ti Fa Stare Bene","Caparezza"
"18","Senza Pagare","J- AX & Fedez, T- Pain"
"19","Le Luci Della Citta","Coez"
"20","Katchi","Ofenbach & Nick Waterhouse"
