"rank";"title";"artist"
"1";"All I Want For Christmas Is You";"Mariah Carey"
"2";"Baby";"Sfera Ebbasta & J Balvin"
"3";"Destri";"Gazzelle"
"4";"Superclassico";"Ernia"
"5";"Altalene";"Bloody Vinyl, Slait, Tha Supreme & Mara Sattei, Coez"
"6";"It's Beginning To Look A Lot Like Christmas";"Michael Buble"
"7";"Happy Xmas (War Is Over)";"John Lennon & Yoko Ono With The Harlem Community Choir"
"8";"Scooby Doo";"Pinguini Tattici Nucleari"
"9";"Feliz Navidad";"Jose Feliciano"
"10";"Jingle Bell Rock";"Bobby Helms"
"11";"Bella Storia";"Fedez"
"12";"Bottiglie Prive";"Sfera Ebbasta"
"13";"Mood";"24kGoldn & Iann Dior"
"14";"Hypnotized";"Purple Disco Machine & Sophie And The Giants"
"15";"Head & Heart";"Joel Corry & MNEK"
"16";"Concedimi";"Matteo Romano"
"17";"Last Christmas";"Wham!"
"18";"White Christmas";"Michael Buble"
"19";"Hallelujah";"Pentatonix"
"20";"Cuore Nero";"Blind"
