"rank";"title";"artist"
"1";"Spigoli";"Carl Brave, Mara Sattei & Tha Supreme"
"2";"Problemi Con Tutti (Giuda)";"Fedez"
"3";"Moonlight Popolare";"Mahmood & Massimo Pericolo"
"4";"Good Times";"Ghali"
"5";"Fiori Di Chernobyl";"Mr. Rain"
"6";"Auto Blu";"Shiva & Eiffel 65"
"7";"Roses";"SAINt JHN"
"8";"Death Bed";"Powfu & Beabadoobee"
"9";"Gooba";"6ix9ine"
"10";"Blinding Lights";"Weeknd"
"11";"Bando";"Anna"
"12";"Il Bacio Di Klimt";"Emanuele Aloia"
"13";"Pussy";"Dark Polo Gang, Tony Effe, Lazza & Salmo"
"14";"Mamacita";"Black Eyed Peas, Ozuna & J.Rey Soul"
"15";"Tusa";"Karol G & Nicki Minaj"
"16";"Chega";"Gaia"
"17";"Amiri Boys";"Dark Polo Gang, Tony Effe & Capo Plaza"
"18";"Le Feste Di Pablo";"Cara & Fedez"
"19";"Nena";"Boro Boro, Geolier & Andry The Hitmaker"
"20";"Toosie Slide";"Drake"
