"rank";"title";"artist"
"1";"M' Manc";"Shablo, Geolier & Sfera Ebbasta"
"2";"Mediterranea";"Irama"
"3";"Karaoke";"Boomdabash & Alessandra Amoroso"
"4";"Bimbi Per Strada";"Fedez & Robert Miles"
"5";"Mamacita";"Black Eyed Peas, Ozuna & J.Rey Soul"
"6";"Sono Un Bravo Ragazzo Un Po Fuori Di Testa";"Random"
"7";"Rari";"Tedua, Paky, Shiva & Chris Nolan"
"8";"Il Bacio Di Klimt";"Emanuele Aloia"
"9";"Good Times";"Ghali"
"10";"Polvere";"Tedua, Chris Nolan & Ava, Capo Plaza"
"11";"Rockstar";"DaBaby & Roddy Ricch"
"12";"Elegante";"DrefGold & Sfera Ebbasta"
"13";"Spigoli";"Carl Brave, Mara Sattei & Tha Supreme"
"14";"TesTa TrA Le NuVoLE, pT. 2";"Alfa & Yanomi"
"15";"Lo Sai";"Tedua & Sick Luke"
"16";"La Story Infinita";"Tedua, Massimo Pericolo, Chris Nolan & Sick Luke"
"17";"Roses";"SAINt JHN"
"18";"Chega";"Gaia"
"19";"Como Llora";"Juanfran"
"20";"Guarana";"Elodie"
