"rank","title","artist"
"1","Karaoke","BoomDaBash & Alessandra Amoroso"
"2","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"3","Moon","BTS"
"4","Breaking Me","Topic & A7S"
"5","Non Mi Basta Piu","Baby K Specail Guest Chiara Ferragni"
"6","Hypnotized","Purple Disco Machine & Sophie And The Giants"
"7","Mediterranea","Irama"
"8","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"9","A Un Passo Dalla Luna","Rocco Hunt X Ana Mena"
"10","Ciclone","Takagi & Ketra & Elodie Featuring Mariah, Gipsy Kings, Nicolas Reyes & Tonino Baliardo"
