"rank","title","artist"
"1","Dynamite","BTS"
"2","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"3","Hypnotized","Purple Disco Machine & Sophie And The Giants"
"4","A Un Passo Dalla Luna","Rocco Hunt X Ana Mena"
"5","Karaoke","BoomDaBash & Alessandra Amoroso"
"6","Paloma","Fred de Palma Featuring Anitta"
"7","Ciclone","Takagi & Ketra & Elodie Featuring Mariah, Gipsy Kings, Nicolas Reyes & Tonino Baliardo"
"8","Breaking Me","Topic & A7S"
"9","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"10","Mediterranea","Irama"
