"rank","title","artist"
"1","Karaoke","BoomDaBash & Alessandra Amoroso"
"2","A Un Passo Dalla Luna","Rocco Hunt X Ana Mena"
"3","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"4","Mediterranea","Irama"
"5","Paloma","Fred de Palma Featuring Anitta"
"6","Ciclone","Takagi & Ketra & Elodie Featuring Mariah, Gipsy Kings, Nicolas Reyes & Tonino Baliardo"
"7","Breaking Me","Topic & A7S"
"8","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"9","Non Mi Basta Piu","Baby K Specail Guest Chiara Ferragni"
"10","LA ISLA","Giusy Ferreri & Elettra Lamborghini"
