"rank","title","artist"
"1","Mr Fini","Gue Pequeno"
"2","Gemelli","Ernia"
"3","Vita Vera Mixtape","Tedua"
"4","Caldo","MamboLosco & Boro Boro"
"5","DNA","Ghali"
"6","Radio Italia: Summer Hits 2020","Various Artists"
"7","Persona","Marracash"
"8","KETY REBORN","Ketama126"
"9","Shoot For The Stars Aim For The Moon","Pop Smoke"
"10","Montagne Russe","Random"
