"rank","title","artist"
"1","Mr Fini","Gue Pequeno"
"2","Emanuele","Geolier"
"3","Gemelli","Ernia"
"4","Vita Vera Mixtape","Tedua"
"5","Radio Italia: Summer Hits 2020","Various Artists"
"6","DNA","Ghali"
"7","Persona","Marracash"
"8","Caldo","MamboLosco & Boro Boro"
"9","Legends Never Die","Juice WRLD"
"10","Montagne Russe","Random"
