"rank","title","artist"
"1","Power Up","AC/DC"
"2","Contatto","Negramaro"
"3","Accetto Miracoli","Tiziano Ferro"
"4","QVC9","Gemitaiz"
"5","BV3","Bloody Vinyl"
"6","Letter To You","Bruce Springsteen"
"7","L'ultima Casa Accogliente","The Zen Circus"
"8","DNA","Ghali"
"9","Zerosettanta, Volume Due","Renato Zero"
"10","X Factor 2020: Mixtape","Soundtrack"
