Position,Track Name,Artist,Streams,URL,Country,Start Date,End Date
43,Party Monster,The Weeknd,7431097,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt,global,2016-12-23,2016-12-30
44,Safari,J Balvin,7286559,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO,global,2016-12-23,2016-12-30
45,It's the Most Wonderful Time of the Year,Andy Williams,7232257,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,global,2016-12-23,2016-12-30
46,Cheap Thrills,Sia,7218935,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,global,2016-12-23,2016-12-30
47,Deja Vu,J. Cole,7217628,https://open.spotify.com/track/6I6NX6tjGsxFAsIfGzY9lJ,global,2016-12-23,2016-12-30
48,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,7143405,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,global,2016-12-23,2016-12-30
49,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,7093486,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl,global,2016-12-23,2016-12-30
50,Caroline,Aminé,7091625,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,global,2016-12-23,2016-12-30
51,Jingle Bell Rock,Bobby Helms,7055550,https://open.spotify.com/track/1cImYkHOQMFE7AZC9aOk4y,global,2016-12-23,2016-12-30
52,Vente Pa' Ca (feat. Maluma),Ricky Martin,6588326,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,global,2016-12-23,2016-12-30
53,Otra vez (feat. J Balvin),Zion & Lennox,6449470,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq,global,2016-12-23,2016-12-30
54,Ride,Twenty One Pilots,6394724,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW,global,2016-12-23,2016-12-30
55,Shed a Light,Robin Schulz,6295040,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY,global,2016-12-23,2016-12-30
56,"How Far I'll Go - From ""Moana""",Alessia Cara,6273292,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN,global,2016-12-23,2016-12-30
57,Hear Me Now,Alok,6269293,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,global,2016-12-23,2016-12-30
58,Sexual,NEIKED,6070351,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop,global,2016-12-23,2016-12-30
59,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,5981969,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,global,2016-12-23,2016-12-30
60,White Christmas,Bing Crosby,5949789,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW,global,2016-12-23,2016-12-30
61,Perfect Strangers,Jonas Blue,5874412,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u,global,2016-12-23,2016-12-30
62,This Is What You Came For (feat. Rihanna),Calvin Harris,5682904,https://open.spotify.com/track/0azC730Exh71aQlOt9Zj3y,global,2016-12-23,2016-12-30
63,Bounce Back,Big Sean,5581496,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,global,2016-12-23,2016-12-30
64,Too Good,Drake,5568347,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew,global,2016-12-23,2016-12-30
65,Stressed Out,Twenty One Pilots,5561301,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn,global,2016-12-23,2016-12-30
66,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,5553147,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3,global,2016-12-23,2016-12-30
67,"i hate u, i love u (feat. olivia o'brien)",gnash,5529838,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe,global,2016-12-23,2016-12-30
68,Feliz Navidad,José Feliciano,5503666,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS,global,2016-12-23,2016-12-30
69,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,5426035,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,global,2016-12-23,2016-12-30
70,Do They Know It's Christmas? - 1984 Version,Band Aid,5360185,https://open.spotify.com/track/1hvpDAxZPKjKztOc72sv06,global,2016-12-23,2016-12-30
71,Human,Rag'n'Bone Man,5332630,https://open.spotify.com/track/58zsLZPvfflaiIbNWoA22O,global,2016-12-23,2016-12-30
72,Faded,Alan Walker,5324718,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,global,2016-12-23,2016-12-30
73,Panda,Desiigner,5286319,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h,global,2016-12-23,2016-12-30
74,Love Yourself,Justin Bieber,5262534,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT,global,2016-12-23,2016-12-30
75,Work,Rihanna,5193349,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v,global,2016-12-23,2016-12-30
76,Sorry,Justin Bieber,5191994,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ,global,2016-12-23,2016-12-30
77,Blue Christmas,Elvis Presley,5185497,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ,global,2016-12-23,2016-12-30
