id;original_song_name;original_artists_name;song_name;artists_names
4EFE0Cvf3caqwaM5K3udBR;beat of my heart;hilary duff;Beat Of My Heart;['Hilary Duff']
0S2NyqGRLqcPi3LZiAwWJC;lo scrutatore non votante;samuele bersani;Lo scrutatore non votante;['Samuele Bersani']
0u9rM2pOkSgRvqWmEq4nxd;that was then;jesse mccartney;That Was Then;['Jesse McCartney']
5XmetMMUFNXClbiYnGdVmP;cry baby cry;carlos santana feat. joss stone;Cry Baby Cry - Remastered 2009;['The Beatles']
1ScdErnPp2ByGFvBmrlKci;you're so vain;carly simon;You’'re so Vain (Tendus);['David Plumpton']
6gfo78XBBMr79MlfZlT5JF;control myself;ll cool j;Control Myself - Jason Nevins Electrotex Club Mix;['LL Cool J', 'Jennifer Lopez', 'Jason Nevins']
2GNffYFHfeLy9Gi6fpugwi;senza parole;vasco rossi;Senza Parole - Live;['Vasco Rossi']
6xSURliah5JAMguWCvgIbx;forse un angelo;studio 3;Forse un angelo;['Studio 3']
0kPeymTUiaidv48eRrMISu;bette davis eyes;kim carnes;Bette Davis Eyes;['Kim Carnes']
7M13FwBAKWNa2jqcZeUhL6;love generation;bob sinclar;Love Generation - Radio Edit;['Bob Sinclar', 'Gary Pine']
0sdZAxQiYSTBN5x35EILHX;un altro posto nel mondo;mario venuti & arancia sonora;Un Altro Posto Nel Mondo;['Salvatore Marletta']
0J87HsE3OgSinXInQdP3qF;come ti va;rio;Come ti va;['I RIO']
6yeO8fapOJGqL8Hr0Da2l3;world, hold on;bob sinclar;World, Hold On;['Bob Sinclar', 'Steve Edwards']
6uSQ7Kjd8sX3O766gMMTkq;we shall overcome;bruce springsteen;We Shall Overcome;['Bruce Springsteen']
7cd6rqy01GXaUBJkzJvGzO;un tempo piccolo;franco califano;Un Tempo piccolo;['Franco Califano']
3EY1sjf2Xq86pQN0L4hEnU;advertising space;robbie williams;Advertising Space;['Robbie Williams']
238vPTkV2cKupWDnAietb6;what else is there?;royksopp;What Else Is There ?;['Röyksopp']
3PcMTNWD3JrFnO2h6gAhNt;vivo per lei;giorgia;Vivo Per Lei;['Andrea Bocelli and Giorgia, Base Karaoke + Choirs']
2eqKaF9zznD2WWrgAeoq8n;ovunque proteggi;vinicio capossela;Ovunque proteggi;['Vinicio Capossela']
5BSclXJTa9B0iURhUjZo50;la tortura;shakira & alejandro sanz;La Tortura (feat. Alejandro Sanz);['Shakira', 'Alejandro Sanz']
19JdbdEwQI7bCxefMokZO8;my humps;black eyed peas;My Humps;['Black Eyed Peas']
4tYAoqOQLxksYHuDqDvWRq;total eclipse of the heart;bonnie tyler;Total Eclipse of the Heart;['Bonnie Tyler']
6EbXToKgsxISGvQMl1RnS5;aiysha;khaled;Aiysha;['Khaled']
3MrRksHupTVEQ7YbA0FsZK;the final countdown;europe;The Final Countdown;['Europe']
7fnP3D9QNF9up42WIaoBti;dimentica;raf;Dimentica;['Raf']
4Tw9JYF9HOuPRyccNWMgwf;the hardest part;coldplay;The Hardest Part;['Coldplay']
2lnzGkdtDj5mtlcOW2yRtG;whenever, wherever;shakira;Whenever, Wherever;['Shakira']
53EmLZj7bKyyxUi2VlHOEc;if i were you;hoobastank;If I Were You;['Hoobastank']
5MIoOiIkw77j5OGDlDbM3v;pay me my money down;bruce springsteen;Pay Me My Money Down;['Bruce Springsteen']
2N5zMZX7YeL1tico8oQxa9;crazy;gnarls barkley;Crazy;['Gnarls Barkley']
7qKh2ioC24dK3NCnM67KPq;horny as a dandy;mousse t. vs the dandy warhols;Horny As a Dandy - Joe T Vannelli vs. Tom Novy Mix;['Mousse T.', 'The Dandy Warhols', 'Joe T Vannelli']
67PuP7xMPfjnyOqCijGkvj;signor tentenna;carmen consoli;Signor Tentenna;['Carmen Consoli']
0QcBiMDLm9EHMmpGYDPSDE;supermassive black hole;muse;"Supermassive Black Hole - Phones Control Voltage Remix; 7"" Edit";['Muse', 'Paul Epworth']
7Gr5IX3qVyWhgWjfBUS0Au;king without a crown;matisyahu;King Without A Crown;['Matisyahu']
7dfZaSRWloJY0Jx2VlMGMO;stop! dimentica;tiziano ferro;Stop! Dimentica;['Tiziano Ferro']
5BeK8gLwN68XPlLEaE3BFQ;is it any wonder?;keane;Is It Any Wonder? - Sprint Music Series;['Keane']
05tbq1S2dcnhwXOLaQefCD;bambino nel tempo;eros ramazzotti;Bambino nel tempo;['Eros Ramazzotti']
0i9X7b05ZFBZGRORWfsb4z;sottocasa;lucio dalla;Sottocasa;['Lucio Dalla']
3iJyF9U2r8oYKBbn8krlJx;malo;bebe;Malo;['Bebe']
5OylWGHYTnJ6dSwQ6BmAt7;got none;robert post;Got None;['Robert Post']
27wy4h8t59zVvaM7gJhLY9;il mondo nuovo;neffa;Il mondo nuovo;['Neffa']
2x5HAkhOG323dluYMkwTea;lascia stare;samuele bersani;Lascia Stare - remastered;['Samuele Bersani']
5hkdfA87RZvNaxl6XiveOA;everybody's changing;keane;Everybody's Changing;['Keane']
0pAEO6wilhVVVczrumoNSM;nao tenho pressa;sandy muller;Porque Você Não Vem;['Edson Lima', 'Gatinha Manhosa']
59TEwguuXqdtjUrdG5trEa;aicha;khaled;Aicha - Version Mixte;['Khaled']
0uxl841gemkjNQ0ogl0I9x;sin sin sin;robbie williams;Sin Sin Sin;['Robbie Williams']
1xE0z1D3vQl9nhqBmfg2o1;notte di mezza estate;edoardo bennato & alex britti;Notte di mezza estate;['Piero Umiliani']
1M9uq2yCiOhsO6BFozo2OE;maneater;nelly furtado;Maneater;['Nelly Furtado']
0uEsdzuTnMStk8Y0gSN6mE;hurricane;bob dylan;Hurricane - Live at Memorial Auditorium, Worcester, MA - November 1975;['Bob Dylan']
0KzGxktHRTrjYzhFIZRKvb;la mia banda suona il rap;max pezzali & flaminio maphia;Sotto le casse;['Denay']
6NLAzDPHSlV2bl7XbmivOq;rhythm is a dancer;snap!;Rhythm Is A Dancer - 12'' Version;['SNAP!']
57ebBLITHpRgRKGrlbxMZS;faith;novastar;Faithfully;['Journey']
0h6MTCrcC8LN9CUtCg7XNP;sooner or later;james duncan;Sooner Or Later;['Duncan James']
65B499gQzhn0XYX33sSShx;falla girare;jovanotti;Falla Girare;['Jovanotti', 'Soleluna NY Lab']
1zEWxzF6kLWgHuuTQe4zgE;io;gianna nannini;Io E Bobby McGee;['Gianna Nannini']
6Sw4vHfhgBTKD8FZ686GwL;domenica d'estate;seba;Domenica d'estate;['Seba']
1Sdi04rXqOlj5c97akDEHR;one;gaia;Assis sur un mur;['Jah Gaïa']
0gcjc7Vt5xtcfmJgf6g2IO;when you say nothing at all;ronan keating;When You Say Nothing At All;['Ronan Keating']
7xbRLQyE9t7zkA3osC8S2d;santa maria (del buen ayre);soundtrack;Pero La Recuerdo (Cumbia Santa María);['Pancho Barraza', 'Mariachi Santa María']
6ucJvn2yJI7pOc1oHKLJWv;tribú;piero pelú;Tribù;['Piero Pelù']
5CE6WoODt6eJLG09JEkxcp;ain't no other man;christina aguilera;Ain’t No Other Man;['Karaoke - Ameritz']
0l99ITksKt4AiJfDmZQoeY;il danno;131;Il Danno Al Cuore;['Stona']
15joiMls8SpP1VtGivYh6i;who knew;pink;Who Knew;['Eminem']
3gkUxsWHTvH6jVhr3PCxLY;happy hour;ligabue;Happy Hour;['Ligabue']
2BI7BmpfN2mbDXsbzNQjBF;stars are blind;paris hilton;Stars Are Blind;['Paris Hilton']
0LNlKea7BFyja8oSeSs86o;an easier affair;george michael;An Easier Affair - Remastered 2006;['George Michael']
07zQBNfxQWG6dQZUO4DM9l;that old pair of jeans;fatboy slim;That Old Pair Of Jeans;['Fatboy Slim']
02O1PKwqaptDV00i7Bn72w;the message;nate james;The Message;['Nate James']
06DvuTDV0p6ShjBtq1Ks4y;ama credi e vai (because we believe);andrea bocelli & gianna nannini;Ama credi e vai - Live;['Federico Martello']
1c6pUzB3LpB0P83hsQ3lTX;i giardini di marzo (unplugged);ligabue;I giardini di marzo - Unplugged;['Ligabue']
3zY1zgxiQdBG6sKpIQa6oD;you you you;james kakande;You You You;['James Kakande']
2IDNV0ttledZreT0JtzFMp;ti scatteró una foto;tiziano ferro;Ti scatterò una foto;['Tiziano Ferro']
3yGy1JYz3zQKlxSgjgpQqX;praise you;fatboy slim;Praise You;['Fatboy Slim']
7mCQK9YB25WZw1saUjfL4e;the rockafeller skank;fatboy slim;The Rockafeller Skank;['Fatboy Slim']
1t6tQ0ETeOIDl5cscjEC55;brimful of asha;cornershop;Brimful of Asha;['Cornershop']
100Tm6z29RfHTdUQ6NIs0s;me voy;julieta venegas;Me Voy;['Julieta Venegas']
051l0qSJGSn9JQpcOHYqP9;purple;skin;Purple;['Skin']
7nd1mwoAAFtJjmjfdyOUwg;estate;negramaro;Estate;['Negramaro']
3dPQuX8Gs42Y7b454ybpMR;seven nation army;white stripes;Seven Nation Army;['The White Stripes']
5pFX29dH5qfD0VHHQFXEdY;chan chan;ry cooder;France Chance;['Ry Cooder']
1AQQ9DdpEemMVTHNz4eG9a;get together;madonna;Get Together;['Madonna']
7qOFflNfVWJo9UuNCIpL0f;un'estate italiana;edoardo bennato & gianna nannini;Un’estate italiana;['Magia Estate']
1u5W6PR6FsqSv7jM1AGrcC;inno di mameli;artisti vari;"Italy [Inno Di Mameli (Mameli's Hymn), ""Italian Brother, Italy Has Awakened…""]";['Slovak Radio Symphony Orchestra', 'Peter Breiner']
3WaKn7HFP2FOT8tfZkeTbg;cuore azzurro;pooh e calciatori;Cuore Azzurro;['Gennary']
7ccI9cStQbQdystvc6TvxD;we are the champions;queen;We Are The Champions - Remastered 2011;['Queen']
72K99408GIuFFavV1Zv6Uy;non cado piú;francesco di lello;La Cenerentola: Nacqui all'affanno e al pianto.....Non più mesta (1992 Digital Remaster) - 1992 Remastered Version;['Gioachino Rossini', 'Marina De Gabarain', 'Alda Noni', 'Fernanda Cadoni', 'Hervey Alan', 'Ian Wallace', 'Bryan Balkwill', 'Juan Oncina', 'Glyndebourne Chorus', 'Sesto Bruscantini', 'Vittorio Gui', 'Glyndebourne Festival Orchestra']
4aR9bPMAOFySBuQSbVWF3d;smile;lily allen;Smile;['Lily Allen']
0itNMuBHye9fu392b4e9oa;tell me baby;red hot chili peppers;Tell Me Baby;['Red Hot Chili Peppers']
7MTdv6v3vsmQcVfh7eIaks;tripping;robbie williams;Tripping;['Robbie Williams']
