"rank","title","artist"
"1","After Hours","The Weeknd"
"2","Pray 4 Love","Rod Wave"
"3","Eternal Atake","Lil Uzi Vert"
"4","My Turn","Lil Baby"
"5","SOUTHSIDE","Sam Hunt"
"6","YHLQMDLG","Bad Bunny"
"7","Please Excuse Me For Being Antisocial","Roddy Ricch"
"8","Future Nostalgia","Dua Lipa"
"9","Hollywood's Bleeding","Post Malone"
"10","Chilombo","Jhene Aiko"
"11","Changes","Justin Bieber"
"12","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"13","Frozen II","Soundtrack"
"14","Fine Line","Harry Styles"
"15","What You See Is What You Get","Luke Combs"
"16","Suga","Megan Thee Stallion"
"17","Hot Pink","Doja Cat"
"18","This One's For You","Luke Combs"
"19","Meet The Woo, V.2","Pop Smoke"
"20","PARTYMOBILE","PARTYNEXTDOOR"
"21","ADHD","Joyner Lucas"
"22","C A L M","5 Seconds Of Summer"
"23","If I Know Me","Morgan Wallen"
"24","Ghetto Gospel","Rod Wave"
"25","beerbongs & bentleys","Post Malone"
"26","Goodbye & Good Riddance","Juice WRLD"
"27","Still Flexin, Still Steppin","YoungBoy Never Broke Again"
"28","Over It","Summer Walker"
"29","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"30","KIKI","Kiana Lede"
"31","Wake Up, Sunshine","All Time Low"
"32","Music To Be Murdered By","Eminem"
"33","KIRK","DaBaby"
"34","Artist 2.0","A Boogie Wit da Hoodie"
"35","Manic","Halsey"
"36","Lover","Taylor Swift"
"37","MAP OF THE SOUL : 7","BTS"
"38","It Is What It Is","Thundercat"
"39","Certified Hitmaker","Lil Mosey"
"40","Scorpion","Drake"
"41","Greatest Hits","Queen"
"42","AI YoungBoy 2","YoungBoy Never Broke Again"
"43","Death Race For Love","Juice WRLD"
"44","Hamilton: An American Musical","Original Broadway Cast"
"45","JACKBOYS","JACKBOYS"
"46","Dont Smile At Me","Billie Eilish"
"47","A Love Letter To You 4","Trippie Redd"
"48","Stoney","Post Malone"
"49","Diamonds","Elton John"
"50","ASTROWORLD","Travis Scott"
"51","So Much Fun","Young Thug"
"52","Cuz I Love You","Lizzo"
"53","Guardians","August Burns Red"
"54","Never Will","Ashley McBryde"
"55","John Prine","John Prine"
"56","Fully Loaded: God's Country","Blake Shelton"
"57","Romance","Camila Cabello"
"58","?","XXXTENTACION"
"59","Melly vs. Melvin","YNW Melly"
"60","Heaven Or Hell","Don Toliver"
"61","Declaration","Red"
"62","Legend: The Best Of...","Bob Marley And The Wailers"
"63","Rare","Selena Gomez"
"64","Free Spirit","Khalid"
"65","Indigo","Chris Brown"
"66","Gigaton","Pearl Jam"
"67","PTSD","G Herbo"
"68","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"69","1","The Beatles"
"70","Sweet Action","Jack Harlow"
