"rank","title","artist"
"1","My Turn","Lil Baby"
"2","Rough And Rowdy Ways","Bob Dylan"
"3","Artist 2.0","A Boogie Wit da Hoodie"
"4","BLAME IT ON BABY","DaBaby"
"5","Hollywood's Bleeding","Post Malone"
"6","Chromatica","Lady Gaga"
"7","Dark Lane Demo Tapes","Drake"
"8","The Album","Teyana Taylor"
"9","Eternal Atake","Lil Uzi Vert"
"10","The GOAT","Polo G"
"11","After Hours","The Weeknd"
"12","High Off Life","Future"
"13","Fine Line","Harry Styles"
"14","Wunna","Gunna"
"15","Lamb Of God","Lamb Of God"
"16","YHLQMDLG","Bad Bunny"
"17","Homegrown","Neil Young"
"18","Please Excuse Me For Being Antisocial","Roddy Ricch"
"19","Bigger Love","John Legend"
"20","What You See Is What You Get","Luke Combs"
"21","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"22","The Smartest","Tee Grizzley"
"23","If I Know Me","Morgan Wallen"
"24","This One's For You","Luke Combs"
"25","Suga","Megan Thee Stallion"
"26","Greatest Hits","Queen"
"27","Goldmine","Gabby Barrett"
"28","Goodbye & Good Riddance","Juice WRLD"
"29","City On Lock","City Girls"
"30","Meet The Woo, V.2","Pop Smoke"
"31","Future Nostalgia","Dua Lipa"
"32","beerbongs & bentleys","Post Malone"
"33","ASTROWORLD","Travis Scott"
"34","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"35","Pray 4 Love","Rod Wave"
"36","Hot Pink","Doja Cat"
"37","Emmanuel","Anuel AA"
"38","Diamonds","Elton John"
"39","Legend: The Best Of...","Bob Marley And The Wailers"
"40","NCT #127: Neo Zone, The 2nd Album","NCT 127"
"41","SOUTHSIDE","Sam Hunt"
"42","Changes","Justin Bieber"
"43","Punisher","Phoebe Bridgers"
"44","Over It","Summer Walker"
"45","Hamilton: An American Musical","Original Broadway Cast"
"46","Chilombo","Jhene Aiko"
"47","Lover","Taylor Swift"
"48","Time Served","Moneybagg Yo"
"49","MAP OF THE SOUL : 7","BTS"
"50","Death Race For Love","Juice WRLD"
"51","Scorpion","Drake"
"52","Translation","Black Eyed Peas"
"53","Stoney","Post Malone"
"54","Frozen II","Soundtrack"
"55","Chronicle The 20 Greatest Hits","Creedence Clearwater Revival"
"56","Just Cause Y'all Waited 2","Lil Durk"
"57","Sweet Action","Jack Harlow"
"58","Young & Turnt, Vol. 2","42 Dugg"
"59","KIRK","DaBaby"
"60","Collection One","SAINt JHN"
"61","JACKBOYS","JACKBOYS"
"62","Certified Hitmaker","Lil Mosey"
"63","Ghetto Gospel","Rod Wave"
"64","Dont Smile At Me","Billie Eilish"
"65","?","XXXTENTACION"
"66","Traveller","Chris Stapleton"
"67","Cuz I Love You","Lizzo"
"68","So Much Fun","Young Thug"
"69","Journey's Greatest Hits","Journey"
"70","It Was Good Until It Wasn't","Kehlani"
"71","American Teen","Khalid"
"72","Manic","Halsey"
"73","Golden Hour","Kygo"
"74","Greatest Hits","Tom Petty And The Heartbreakers"
"75","GIRL","Maren Morris"
"76","Free Spirit","Khalid"
"77","Greatest Hits","2Pac"
"78","1","The Beatles"
"79","Ungodly Hour","Chloe X Halle"
"80","PTSD","G Herbo"
"81","Rumours","Fleetwood Mac"
"82","AI YoungBoy 2","YoungBoy Never Broke Again"
"83","Heaven Or Hell","Don Toliver"
"84","Fully Loaded: God's Country","Blake Shelton"
"85","Thank U, Next","Ariana Grande"
"86","Music To Be Murdered By","Eminem"
"87","÷ (Divide)","Ed Sheeran"
"88","Abbey Road","The Beatles"
"89","Good Intentions","NAV"
"90","Indigo","Chris Brown"
"91","Moana","Soundtrack"
"92","A Love Letter To You 4","Trippie Redd"
"93","Slime & B","Chris Brown & Young Thug"
"94","Las Que No Iban A Salir","Bad Bunny"
"95","Sounds Of Summer: The Very Best Of The Beach Boys","The Beach Boys"
"96","Luv Is Rage 2","Lil Uzi Vert"
"97","Appetite For Destruction","Guns N' Roses"
"98","Romance","Camila Cabello"
