"rank","title","artist"
"1","Good Intentions","NAV"
"2","It Was Good Until It Wasn't","Kehlani"
"3","Dark Lane Demo Tapes","Drake"
"4","My Turn","Lil Baby"
"5","Just Cause Y'all Waited 2","Lil Durk"
"6","BLAME IT ON BABY","DaBaby"
"7","Las Que No Iban A Salir","Bad Bunny"
"8","Eternal Atake","Lil Uzi Vert"
"9","After Hours","The Weeknd"
"10","Hollywood's Bleeding","Post Malone"
"11","YHLQMDLG","Bad Bunny"
"12","Hot Pink","Doja Cat"
"13","Please Excuse Me For Being Antisocial","Roddy Ricch"
"14","Suga","Megan Thee Stallion"
"15","What You See Is What You Get","Luke Combs"
"16","When We All Fall Asleep, Where Do We Go?","Billie Eilish"
"17","Future Nostalgia","Dua Lipa"
"18","Petals For Armor","Hayley Williams"
"19","Fine Line","Harry Styles"
"20","This One's For You","Luke Combs"
"21","Pray 4 Love","Rod Wave"
"22","If I Know Me","Morgan Wallen"
"23","38 Baby 2","YoungBoy Never Broke Again"
"24","Slime & B","Chris Brown & Young Thug"
"25","Chilombo","Jhene Aiko"
"26","ASTROWORLD","Travis Scott"
"27","Changes","Justin Bieber"
"28","Frozen II","Soundtrack"
"29","Greatest Hits","Queen"
"30","Goodbye & Good Riddance","Juice WRLD"
"31","State Of Emergency","Lil Tjay"
"32","beerbongs & bentleys","Post Malone"
"33","Divinely Uninspired To A Hellish Extent","Lewis Capaldi"
"34","Lover","Taylor Swift"
"35","Over It","Summer Walker"
"36","Meet The Woo, V.2","Pop Smoke"
"37","SOUTHSIDE","Sam Hunt"
"38","Here And Now","Kenny Chesney"
"39","Fully Loaded: God's Country","Blake Shelton"
"40","Diamonds","Elton John"
"41","Death Race For Love","Juice WRLD"
"42","Ghetto Gospel","Rod Wave"
"43","Scorpion","Drake"
"44","Manic","Halsey"
"45","MAP OF THE SOUL : 7","BTS"
"46","KIRK","DaBaby"
"47","Heaven Or Hell","Don Toliver"
"48","JACKBOYS","JACKBOYS"
"49","Stoney","Post Malone"
"50","Legend: The Best Of...","Bob Marley And The Wailers"
"51","Dont Smile At Me","Billie Eilish"
"52","Music To Be Murdered By","Eminem"
