"rank","title","artist"
"1","WAP","Cardi B Featuring Megan Thee Stallion"
"2","Dynamite","BTS"
"3","Mood","24kGoldn Featuring iann dior"
"4","Hawai","Maluma"
"5","Laugh Now Cry Later","Drake Featuring Lil Durk"
"6","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"7","Blinding Lights","The Weeknd"
"8","Ice Cream","BLACKPINK X Selena Gomez"
"9","Rockstar","DaBaby Featuring Roddy Ricch"
"10","Watermelon Sugar","Harry Styles"
"11","Popstar","DJ Khaled Featuring Drake"
"12","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"13","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"14","Roses","SAINt JHN"
"15","Mood Swings","Pop Smoke Featuring Lil Tjay"
"16","Caramelo","Ozuna x Karol G x Myke Towers"
"17","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"18","Dance Monkey","Tones And I"
"19","Head & Heart","Joel Corry X MNEK"
"20","Heather","Conan Gray"
"21","Breaking Me","Topic & A7S"
"22","Rain On Me","Lady Gaga & Ariana Grande"
"23","Midnight Sky","Miley Cyrus"
"24","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"25","Ay, Dios Mio!","Karol G"
"26","Go Crazy","Chris Brown & Young Thug"
"27","Come & Go","Juice WRLD x Marshmello"
"28","Tattoo","Rauw Alejandro x Camilo"
"29","La Jeepeta","Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka"
"30","You Broke Me First.","Tate McRae"
"31","Un Dia (One Day)","J Balvin, Dua Lipa, Bad Bunny & Tainy"
"32","Someone You Loved","Lewis Capaldi"
"33","How You Like That","BLACKPINK"
"34","Before You Go","Lewis Capaldi"
"35","Kings & Queens","Ava Max"
"36","Hit Different","SZA Featuring Ty Dolla $ign"
"37","Don't Start Now","Dua Lipa"
"38","Greece","DJ Khaled Featuring Drake"
"39","Life Is Good","Future Featuring Drake"
"40","The Woo","Pop Smoke Featuring 50 Cent & Roddy Ricch"
"41","La Curiosidad","DJ Nelson Presenta Jay Wheeler & Myke Towers"
"42","Tap In","Saweetie"
"43","Death Bed","Powfu Featuring beabadoobee"
"44","Take You Dancing","Jason Derulo"
"45","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"46","Agua","Tainy x J Balvin"
"47","Break My Heart","Dua Lipa"
"48","Wishing Well","Juice WRLD"
"49","Smile","Juice WRLD & The Weeknd"
"50","Say So","Doja Cat"
"51","Circles","Post Malone"
"52","Savage","Megan Thee Stallion"
"53","Be Like That","Kane Brown With Swae Lee & Khalid"
"54","My Ex's Best Friend","Machine Gun Kelly X blackbear"
"55","Bad Guy","Billie Eilish"
"56","ily","Surf Mesa Featuring Emilee"
"57","Djadja","Aya Nakamura Featuring Maluma"
"58","Baby Shark","Pinkfong"
"59","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"60","Stuck With U","Ariana Grande & Justin Bieber"
"61","Perfect","Ed Sheeran"
"62","Blueberry Faygo","Lil Mosey"
"63","Rags2Riches","Rod Wave Featuring ATR Son Son"
"64","Lithuania","Big Sean Featuring Travis Scott"
"65","Mamacita","Black Eyed Peas, Ozuna + J.Rey Soul"
"66","Dior","Pop Smoke"
"67","Over Now","Calvin Harris X The Weeknd"
"68","Wolves","Big Sean Featuring Post Malone"
"69","Party Girl","StaySolidRocky"
"70","The Box","Roddy Ricch"
"71","Adore You","Harry Styles"
"72","Senorita","Shawn Mendes & Camila Cabello"
"73","Toosie Slide","Drake"
"74","Memories","Maroon 5"
"75","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
"76","Intentions","Justin Bieber Featuring Quavo"
"77","Cardigan","Taylor Swift"
"78","I Hope","Gabby Barrett"
"79","Porfa","Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles"
"80","Yoru Ni Kakeru","YOASOBI"
"81","Shallow","Lady Gaga & Bradley Cooper"
"82","Believer","Imagine Dragons"
"83","In Your Eyes","The Weeknd"
"84","Be Kind","Marshmello & Halsey"
"85","Still Don't Know My Name","Labrinth"
"86","Shape Of You","Ed Sheeran"
"87","Ride It.","Regard"
"88","Mi Cuarto","Jerry Di"
"89","Lets Link","WhoHeem"
"90","24","Money Man Featuring Lil Baby"
"91","Highest In The Room","Travis Scott"
"92","Tutu","6ix9ine"
"93","We Paid","Lil Baby & 42 Dugg"
"94","Falling","Trevor Daniel"
"95","My Future","Billie Eilish"
"96","Sicko Mode","Travis Scott"
"97","Electric Love","BORNS"
"98","Elegi","Lenny Tavarez X Rauw Alejandro X Dalex X Dimelo Flow"
"99","The Voice","Lil Durk"
"100","Mamichula","Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool"
"101","Del Mar","Ozuna, Doja Cat & Sia"
"102","Sunday Best","Surfaces"
"103","Lovely","Billie Eilish & Khalid"
"104","If The World Was Ending","JP Saxe Featuring Julia Michaels"
"105","Lucid Dreams","Juice WRLD"
"106","I Don't Care","Ed Sheeran & Justin Bieber"
"107","Got It On Me","Pop Smoke"
"108","Goosebumps","Travis Scott"
"109","Tusa","Karol G & Nicki Minaj"
"110","Kanden","Kenshi Yonezu"
"111","Gooba","6ix9ine"
"112","7 Summers","Morgan Wallen"
"113","No Guidance","Chris Brown Featuring Drake"
"114","The 1","Taylor Swift"
"115","Bande Organisee","Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness"
"116","Everything I Wanted","Billie Eilish"
"117","Physical","Dua Lipa"
"118","Martin & Gina","Polo G"
"119","Nobody's Love","Maroon 5"
"120","Deep Reverence","Big Sean Featuring Nipsey Hussle"
"121","Ayer Me Llamo Mi Ex","KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos"
"122","Secrets","Regard & RAYE"
"123","Robbery","Juice WRLD"
"124","Not Shy","iTZY"
"125","Stunnin","Curtis Waters Featuring Harm Franklin"
"126","TKN","Rosalia & Travis Scott"
"127","Supalonely","BENEE Featuring Gus Dapperton"
"128","Hello","Pop Smoke Featuring A Boogie Wit da Hoodie"
"129","Girls In The Hood","Megan Thee Stallion"
"130","Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber"
"131","Bohemian Rhapsody","Queen"
"132","Oh Juliana","Niack"
"133","Exile","Taylor Swift Featuring Bon Iver"
"134","Gunjou","YOASOBI"
"135","Do It","Chloe X Halle"
"136","Mad At Disney","Salem Ilese"
"137","Naked Heart","aimyon"
"138","Girls Like You","Maroon 5 Featuring Cardi B"
"139","The Bones","Maren Morris"
"140","One Of Them Girls","Lee Brice"
"141","Closer","The Chainsmokers Featuring Halsey"
"142","Godzilla","Eminem Featuring Juice WRLD"
"143","All Of Me","John Legend"
"144","Some Say","NEA"
"145","Lean","Super Yei Featuring Towy X Osquel X Beltito, Saammy & Falsetto"
"146","Chicago Freestyle","Drake Featuring Giveon"
"147","Roxanne","Arizona Zervas"
"148","Why Would I Stop?","Big Sean"
"149","Fuckst Mich Nur Ab","Bonez MC"
"150","Don't Stop Believin'","Journey"
"151","Without Me","Halsey"
"152","Dollaz On My Head","Gunna Featuring Young Thug"
"153","Yo Perreo Sola","Bad Bunny"
"154","Heartless","Diplo Presents Thomas Wesley Featuring Morgan Wallen"
"155","Blastoff","Internet Money Featuring Juice WRLD & Trippie Redd"
"156","Rockstar","Post Malone Featuring 21 Savage"
"157","Dream Girl","Ir-Sais x Rauw Alejandro"
"158","Say You Won't Let Go","James Arthur"
"159","Sigues Con El","Arcangel x Sech"
"160","Body Language","Big Sean Featuring Ty Dolla $ign & Jhene Aiko"
"161","7 Rings","Ariana Grande"
"162","Die From A Broken Heart","Maddie & Tae"
"163","Falling","Harry Styles"
"164","Happier","Marshmello & Bastille"
"165","ADMV","Maluma"
"166","Azul","J Balvin"
"167","Chasin' You","Morgan Wallen"
"168","Despeinada","Ozuna x Camilo"
"169","Parce","Maluma Featuring Lenny Tavarez & Justin Quiles"
"170","Hotel California","Eagles"
"171","What You Know Bout Love","Pop Smoke"
"172","Something Just Like This","The Chainsmokers & Coldplay"
"173","RITMO (Bad Boys For Life)","Black Eyed Peas X J Balvin"
"174","Tick Tock","Clean Bandit & Mabel Featuring 24kGoldn"
"175","Thunder","Imagine Dragons"
"176","Hot Girl Bummer","blackbear"
"177","Lose Somebody","Kygo & OneRepublic"
"178","Ocean Eyes","Billie Eilish"
"179","Harder Than My Demons","Big Sean"
"180","Said Sum","Moneybagg Yo"
"181","Thinking Out Loud","Ed Sheeran"
"182","Something Special","Pop Smoke"
