"rank","title","artist"
"1","All I Want For Christmas Is You","Mariah Carey"
"2","Dakiti","Bad Bunny & Jhay Cortez"
"3","Last Christmas","Wham!"
"4","Blinding Lights","The Weeknd"
"5","Dynamite","BTS"
"6","Mood","24kGoldn Featuring iann dior"
"7","Rockin' Around The Christmas Tree","Brenda Lee"
"8","Positions","Ariana Grande"
"9","Jingle Bell Rock","Bobby Helms"
"10","It's Beginning To Look A Lot Like Christmas","Michael Buble"
"11","Santa Tell Me","Ariana Grande"
"12","Bichota","Karol G"
"13","It's The Most Wonderful Time Of The Year","Andy Williams"
"14","Hawai","Maluma"
"15","Therefore I Am","Billie Eilish"
"16","34+35","Ariana Grande"
"17","Monster","Shawn Mendes & Justin Bieber"
"18","Underneath The Tree","Kelly Clarkson"
"19","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"20","Feliz Navidad","Jose Feliciano"
"21","Let It Snow! Let It Snow! Let It Snow!","Dean Martin"
"22","La Noche de Anoche","Bad Bunny & Rosalia"
"23","Levitating","Dua Lipa Featuring DaBaby"
"24","Sleigh Ride","The Ronettes"
"25","WAP","Cardi B Featuring Megan Thee Stallion"
"26","Whoopty","CJ"
"27","Mistletoe","Justin Bieber"
"28","Prisoner","Miley Cyrus Featuring Dua Lipa"
"29","The Christmas Song (Merry Christmas To You)","Nat King Cole"
"30","Body","Megan Thee Stallion"
"31","Wonderful Christmastime","Paul McCartney"
"32","Dance Monkey","Tones And I"
"33","What You Know Bout Love","Pop Smoke"
"34","Lonely","Justin Bieber & benny blanco"
"35","Midnight Sky","Miley Cyrus"
"36","You Broke Me First.","Tate McRae"
"37","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"38","Do They Know It's Christmas?","Band-Aid"
"39","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"40","Watermelon Sugar","Harry Styles"
"41","Life Goes On","BTS"
"42","Holiday","Lil Nas X"
"43","White Christmas","Bing Crosby"
"44","Holy","Justin Bieber Featuring Chance The Rapper"
"45","Wonder","Shawn Mendes"
"46","Rockstar","DaBaby Featuring Roddy Ricch"
"47","Roses","SAINt JHN"
"48","Without You","The Kid LAROI"
"49","A Holly Jolly Christmas","Burl Ives"
"50","Head & Heart","Joel Corry X MNEK"
"51","Christmas (Baby Please Come Home)","Darlene Love"
"52","Holly Jolly Christmas","Michael Buble"
"53","On Me","Lil Baby"
"54","Someone You Loved","Lewis Capaldi"
"55","It's Beginning To Look Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
"56","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"57","Happy Xmas (War Is Over)","John & Yoko/The Plastic Ono Band With The Harlem Community Choir"
"58","Errbody","Lil Baby"
"59","Driving Home For Christmas","Chris Rea"
"60","Te Mudaste","Bad Bunny"
"61","Homura","LiSA"
"62","Don't Start Now","Dua Lipa"
"63","Laugh Now Cry Later","Drake Featuring Lil Durk"
"64","Run Rudolph Run","Chuck Berry"
"65","Life Is Good","Future Featuring Drake"
"66","Oh Santa!","Mariah Carey Featuring Ariana Grande & Jennifer Hudson"
"67","Blue Christmas","Elvis Presley"
"68","La Toxica","Farruko"
"69","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"70","Merry Christmas Everyone","Shakin' Stevens"
"71","Before You Go","Lewis Capaldi"
"72","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"73","Vida de Rico","Camilo"
"74","pov","Ariana Grande"
"75","Perfect","Ed Sheeran"
"76","Jingle Bells","Frank Sinatra"
"77","Have Yourself A Merry Little Christmas","Michael Buble"
"78","Diamonds","Sam Smith"
"79","Real Shit","Juice WRLD x benny blanco"
"80","Bad Guy","Billie Eilish"
"81","Rudolph The Red-Nosed Reindeer","Gene Autry"
"82","Reloj","Rauw Alejandro & Anuel AA"
"83","Let It Snow, Let It Snow, Let It Snow","Frank Sinatra With The B. Swanson Quartet"
"84","Circles","Post Malone"
"85","Rockin' Around The Christmas Tree","Justin Bieber"
"86","Hallelujah","Pentatonix"
"87","(There's No Place Like) Home For The Holidays","Perry Como"
"88","Caramelo","Ozuna x Karol G x Myke Towers"
"89","Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
"90","Heather","Conan Gray"
"91","Take You Dancing","Jason Derulo"
"92","Deck The Halls","Nat King Cole"
"93","Mood Swings","Pop Smoke Featuring Lil Tjay"
"94","Breaking Me","Topic & A7S"
"95","Baby Shark","Pinkfong"
"96","Haciendo Que Me Amas","Bad Bunny"
"97","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"98","The Box","Roddy Ricch"
"99","Dreams","Fleetwood Mac"
"100","Little Saint Nick","The Beach Boys"
"101","Happy Holiday/The Holiday Season","Andy Williams"
"102","Teach Me How To Love","Shawn Mendes"
"103","Sweater Weather","The Neighbourhood"
