"rank","title","artist"
"1","Dakiti","Bad Bunny & Jhay Cortez"
"2","Mood","24kGoldn Featuring iann dior"
"3","Hawai","Maluma"
"4","Positions","Ariana Grande"
"5","Dynamite","BTS"
"6","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"7","Lonely","Justin Bieber & benny blanco"
"8","WAP","Cardi B Featuring Megan Thee Stallion"
"9","Holy","Justin Bieber Featuring Chance The Rapper"
"10","Blinding Lights","The Weeknd"
"11","What You Know Bout Love","Pop Smoke"
"12","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"13","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"14","34+35","Ariana Grande"
"15","Midnight Sky","Miley Cyrus"
"16","Homura","LiSA"
"17","You Broke Me First.","Tate McRae"
"18","Watermelon Sugar","Harry Styles"
"19","Head & Heart","Joel Corry X MNEK"
"20","Levitating","Dua Lipa Featuring DaBaby"
"21","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"22","Laugh Now Cry Later","Drake Featuring Lil Durk"
"23","Rockstar","DaBaby Featuring Roddy Ricch"
"24","Dance Monkey","Tones And I"
"25","La Toxica","Farruko"
"26","Wonder","Shawn Mendes"
"27","pov","Ariana Grande"
"28","Roses","SAINt JHN"
"29","Someone You Loved","Lewis Capaldi"
"30","Dreams","Fleetwood Mac"
"31","Vida de Rico","Camilo"
"32","Take You Dancing","Jason Derulo"
"33","I Can't Stop Me","TWICE"
"34","Diamonds","Sam Smith"
"35","Caramelo","Ozuna x Karol G x Myke Towers"
"36","Forever After All","Luke Combs"
"37","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"38","Before You Go","Lewis Capaldi"
"39","Mood Swings","Pop Smoke Featuring Lil Tjay"
"40","Bichota","Karol G"
"41","Put Your Records On","Ritt Momney"
"42","Baby Shark","Pinkfong"
"43","So Done","Kid LAROI"
"44","Se Te Nota","Lele Pons X Guaynaa"
"45","Breaking Me","Topic & A7S"
"46","Motive","Ariana Grande Featuring Doja Cat"
"47","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"48","Lovesick Girls","BLACKPINK"
"49","Parce","Maluma Featuring Lenny Tavarez & Justin Quiles"
"50","Heather","Conan Gray"
"51","Life Is Good","Future Featuring Drake"
"52","What That Speed Bout!?","Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again"
"53","Come & Go","Juice WRLD x Marshmello"
"54","Popstar","DJ Khaled Featuring Drake"
"55","Un Dia (One Day)","J Balvin, Dua Lipa, Bad Bunny & Tainy"
"56","Don't Start Now","Dua Lipa"
"57","Perfect","Ed Sheeran"
"58","Said Sum","Moneybagg Yo"
"59","Ice Cream","BLACKPINK X Selena Gomez"
"60","La Curiosidad","DJ Nelson Presenta Jay Wheeler & Myke Towers"
"61","La Nota","Manuel Turizo, Myke Towers & Rauw Alejandro"
"62","Kings & Queens","Ava Max"
"63","Tyler Herro","Jack Harlow"
"64","How You Like That","BLACKPINK"
"65","All I Want For Christmas Is You","Mariah Carey"
"66","Go Crazy","Chris Brown & Young Thug"
