"rank","title","artist"
"1","WAP","Cardi B Featuring Megan Thee Stallion"
"2","Dynamite","BTS"
"3","Mood","24kGoldn Featuring iann dior"
"4","Hawai","Maluma"
"5","Laugh Now Cry Later","Drake Featuring Lil Durk"
"6","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"7","Blinding Lights","The Weeknd"
"8","Rockstar","DaBaby Featuring Roddy Ricch"
"9","Watermelon Sugar","Harry Styles"
"10","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"11","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"12","Popstar","DJ Khaled Featuring Drake"
"13","Ice Cream","BLACKPINK X Selena Gomez"
"14","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"15","Roses","SAINt JHN"
"16","Mood Swings","Pop Smoke Featuring Lil Tjay"
"17","Caramelo","Ozuna x Karol G x Myke Towers"
"18","Head & Heart","Joel Corry X MNEK"
"19","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"20","Dance Monkey","Tones And I"
"21","Breaking Me","Topic & A7S"
"22","You Broke Me First.","Tate McRae"
"23","Heather","Conan Gray"
"24","Midnight Sky","Miley Cyrus"
"25","Rain On Me","Lady Gaga & Ariana Grande"
"26","Come & Go","Juice WRLD x Marshmello"
"27","Ay, Dios Mio!","Karol G"
"28","Go Crazy","Chris Brown & Young Thug"
"29","Someone You Loved","Lewis Capaldi"
"30","Un Dia (One Day)","J Balvin, Dua Lipa, Bad Bunny & Tainy"
"31","Tattoo","Rauw Alejandro x Camilo"
"32","OK Not To Be OK","Marshmello & Demi Lovato"
"33","Before You Go","Lewis Capaldi"
"34","La Jeepeta","Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka"
"35","Take You Dancing","Jason Derulo"
"36","Kings & Queens","Ava Max"
"37","How You Like That","BLACKPINK"
"38","Don't Start Now","Dua Lipa"
"39","Life Is Good","Future Featuring Drake"
"40","Greece","DJ Khaled Featuring Drake"
"41","La Curiosidad","DJ Nelson Presenta Jay Wheeler & Myke Towers"
"42","The Woo","Pop Smoke Featuring 50 Cent & Roddy Ricch"
"43","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"44","Be Like That","Kane Brown With Swae Lee & Khalid"
"45","Death Bed","Powfu Featuring beabadoobee"
"46","Wishing Well","Juice WRLD"
"47","Break My Heart","Dua Lipa"
"48","Agua","Tainy x J Balvin"
"49","Circles","Post Malone"
"50","My Ex's Best Friend","Machine Gun Kelly X blackbear"
"51","Tap In","Saweetie"
"52","My Window","YoungBoy Never Broke Again Featuring Lil Wayne"
"53","Say So","Doja Cat"
"54","Smile","Juice WRLD & The Weeknd"
"55","Perfect","Ed Sheeran"
"56","Baby Shark","Pinkfong"
"57","Bad Guy","Billie Eilish"
"58","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"59","ily","Surf Mesa Featuring Emilee"
"60","Savage","Megan Thee Stallion"
"61","Dior","Pop Smoke"
"62","Djadja","Aya Nakamura Featuring Maluma"
"63","Stuck With U","Ariana Grande & Justin Bieber"
"64","Rags2Riches","Rod Wave Featuring ATR Son Son"
"65","Blueberry Faygo","Lil Mosey"
"66","The Box","Roddy Ricch"
"67","Senorita","Shawn Mendes & Camila Cabello"
"68","Adore You","Harry Styles"
"69","Over Now","Calvin Harris X The Weeknd"
"70","Sicko Mode","Travis Scott"
"71","Party Girl","StaySolidRocky"
"72","Memories","Maroon 5"
"73","Drug Addiction","YoungBoy Never Broke Again"
"74","Shallow","Lady Gaga & Bradley Cooper"
"75","Toosie Slide","Drake"
"76","Yoru Ni Kakeru","YOASOBI"
"77","Intentions","Justin Bieber Featuring Quavo"
"78","Mamacita","Black Eyed Peas, Ozuna + J.Rey Soul"
"79","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
"80","24","Money Man Featuring Lil Baby"
"81","Shape Of You","Ed Sheeran"
"82","I Hope","Gabby Barrett"
"83","Highest In The Room","Travis Scott"
"84","Believer","Imagine Dragons"
"85","Cardigan","Taylor Swift"
"86","Ride It.","Regard"
"87","Kacey Talk","YoungBoy Never Broke Again"
"88","You Got It","VEDO"
"89","Porfa","Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles"
"90","Mi Cuarto","Jerry Di"
"91","What You Know Bout Love","Pop Smoke"
"92","Mad At Disney","Salem Ilese"
"93","We Paid","Lil Baby & 42 Dugg"
"94","Falling","Trevor Daniel"
"95","In Your Eyes","The Weeknd"
"96","Hit Different","SZA Featuring Ty Dolla $ign"
"97","Still Don't Know My Name","Labrinth"
"98","Be Kind","Marshmello & Halsey"
"99","Una Locura","Ozuna, J Balvin & Chencho Corleone"
"100","Lets Link","WhoHeem"
"101","Don Don","Daddy Yankee, Anuel AA & Kendo Kaponi"
"102","Goosebumps","Travis Scott"
"103","Lucid Dreams","Juice WRLD"
"104","Lovely","Billie Eilish & Khalid"
"105","7 Summers","Morgan Wallen"
"106","Let's Love","David Guetta & Sia"
"107","If The World Was Ending","JP Saxe Featuring Julia Michaels"
"108","Electric Love","BORNS"
"109","My Future","Billie Eilish"
"110","I Don't Care","Ed Sheeran & Justin Bieber"
"111","Elegi","Lenny Tavarez X Rauw Alejandro X Dalex X Dimelo Flow"
"112","Hello","Pop Smoke Featuring A Boogie Wit da Hoodie"
"113","Got What I Got","Jason Aldean"
"114","Tusa","Karol G & Nicki Minaj"
"115","All In","YoungBoy Never Broke Again"
"116","Tick Tock","Clean Bandit & Mabel Featuring 24kGoldn"
"117","Sunday Best","Surfaces"
"118","No Guidance","Chris Brown Featuring Drake"
"119","Martin & Gina","Polo G"
"120","Everything I Wanted","Billie Eilish"
"121","Got It On Me","Pop Smoke"
"122","Wolves","Big Sean Featuring Post Malone"
"123","One Of Them Girls","Lee Brice"
"124","Bande Organisee","Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness"
"125","Mamichula","Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool"
"126","Secrets","Regard & RAYE"
"127","Robbery","Juice WRLD"
"128","Despeinada","Ozuna x Camilo"
"129","Stunnin","Curtis Waters Featuring Harm Franklin"
"130","Nobody's Love","Maroon 5"
"131","Naked Heart","aimyon"
"132","Put Your Records On","Ritt Momney"
"133","Cross Roads","YoungBoy Never Broke Again"
"134","Physical","Dua Lipa"
"135","Girls In The Hood","Megan Thee Stallion"
"136","La Toxica","Farruko"
"137","The 1","Taylor Swift"
"138","Gone Too Soon","Andrew Jannakos"
"139","Despacito","Luis Fonsi & Daddy Yankee Featuring Justin Bieber"
"140","Bohemian Rhapsody","Queen"
"141","The Last Backyard...","YoungBoy Never Broke Again"
"142","TKN","Rosalia & Travis Scott"
"143","Exile","Taylor Swift Featuring Bon Iver"
"144","Ayer Me Llamo Mi Ex","KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos"
"145","Lean","Super Yei Featuring Towy X Osquel X Beltito, Saammy & Falsetto"
"146","Godzilla","Eminem Featuring Juice WRLD"
"147","Girls Like You","Maroon 5 Featuring Cardi B"
"148","Closer","The Chainsmokers Featuring Halsey"
"149","Make You Happy","NiziU"
"150","Gooba","6ix9ine"
"151","Not Shy","iTZY"
"152","Without Me","Halsey"
"153","Supalonely","BENEE Featuring Gus Dapperton"
"154","Dead Trollz","YoungBoy Never Broke Again"
"155","The Bones","Maren Morris"
"156","All Of Me","John Legend"
"157","Oh Juliana","Niack"
"158","Said Sum","Moneybagg Yo"
"159","7 Rings","Ariana Grande"
"160","Roxanne","Arizona Zervas"
"161","Say You Won't Let Go","James Arthur"
"162","Falling","Harry Styles"
"163","Some Say","NEA"
"164","Dollaz On My Head","Gunna Featuring Young Thug"
"165","Don't Stop Believin'","Journey"
"166","Parce","Maluma Featuring Lenny Tavarez & Justin Quiles"
"167","Heartless","Diplo Presents Thomas Wesley Featuring Morgan Wallen"
"168","Rockstar","Post Malone Featuring 21 Savage"
"169","Chicago Freestyle","Drake Featuring Giveon"
"170","Sigues Con El","Arcangel x Sech"
"171","Happier","Marshmello & Bastille"
"172","Azul","J Balvin"
"173","Thinking Out Loud","Ed Sheeran"
"174","More Than My Hometown","Morgan Wallen"
"175","Kousui","Eito"
"176","Yo Perreo Sola","Bad Bunny"
"177","Hotel California","Eagles"
"178","Lovin' On You","Luke Combs"
"179","Boy With Luv","BTS Featuring Halsey"
"180","Dream Girl","Ir-Sais x Rauw Alejandro"
"181","Ocean Eyes","Billie Eilish"
"182","Something Just Like This","The Chainsmokers & Coldplay"
