"rank","title","artist"
"1","Dynamite","BTS"
"2","WAP","Cardi B Featuring Megan Thee Stallion"
"3","Holy","Justin Bieber Featuring Chance The Rapper"
"4","Mood","24kGoldn Featuring iann dior"
"5","Hawai","Maluma"
"6","Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
"7","Blinding Lights","The Weeknd"
"8","Laugh Now Cry Later","Drake Featuring Lil Durk"
"9","Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo"
"10","For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
"11","Rockstar","DaBaby Featuring Roddy Ricch"
"12","Watermelon Sugar","Harry Styles"
"13","Mood Swings","Pop Smoke Featuring Lil Tjay"
"14","Popstar","DJ Khaled Featuring Drake"
"15","Relacion","Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko"
"16","Roses","SAINt JHN"
"17","Head & Heart","Joel Corry X MNEK"
"18","Ice Cream","BLACKPINK X Selena Gomez"
"19","Caramelo","Ozuna x Karol G x Myke Towers"
"20","Whats Poppin","Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
"21","You Broke Me First.","Tate McRae"
"22","Dance Monkey","Tones And I"
"23","Breaking Me","Topic & A7S"
"24","Heather","Conan Gray"
"25","Midnight Sky","Miley Cyrus"
"26","Come & Go","Juice WRLD x Marshmello"
"27","Go Crazy","Chris Brown & Young Thug"
"28","Rain On Me","Lady Gaga & Ariana Grande"
"29","Someone You Loved","Lewis Capaldi"
"30","Ay, Dios Mio!","Karol G"
"31","Kings & Queens","Ava Max"
"32","Diamonds","Sam Smith"
"33","Un Dia (One Day)","J Balvin, Dua Lipa, Bad Bunny & Tainy"
"34","Before You Go","Lewis Capaldi"
"35","Take You Dancing","Jason Derulo"
"36","Tattoo","Rauw Alejandro x Camilo"
"37","Me Gusta","Anitta Featuring Cardi B & Myke Towers"
"38","La Jeepeta","Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka"
"39","Jerusalema","Master KG Featuring Burna Boy & Nomcebo Zikode"
"40","Don't Start Now","Dua Lipa"
"41","How You Like That","BLACKPINK"
"42","Life Is Good","Future Featuring Drake"
"43","What You Know Bout Love","Pop Smoke"
"44","La Curiosidad","DJ Nelson Presenta Jay Wheeler & Myke Towers"
"45","My Ex's Best Friend","Machine Gun Kelly X blackbear"
"46","Said Sum","Moneybagg Yo"
"47","Greece","DJ Khaled Featuring Drake"
"48","The Woo","Pop Smoke Featuring 50 Cent & Roddy Ricch"
"49","Be Like That","Kane Brown With Swae Lee & Khalid"
"50","Death Bed","Powfu Featuring beabadoobee"
"51","Whenever You Call","ARASHI"
"52","Circles","Post Malone"
"53","Wishing Well","Juice WRLD"
"54","Perfect","Ed Sheeran"
"55","One Too Many","Keith Urban Duet With P!nk"
"56","Break My Heart","Dua Lipa"
"57","Baby Shark","Pinkfong"
"58","Bad Guy","Billie Eilish"
"59","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"60","Agua","Tainy x J Balvin"
"61","Tap In","Saweetie"
"62","Say So","Doja Cat"
"63","Yoru Ni Kakeru","YOASOBI"
"64","Dior","Pop Smoke"
"65","Intentions","Justin Bieber Featuring Quavo"
"66","ily","Surf Mesa Featuring Emilee"
"67","Mad At Disney","Salem Ilese"
"68","Stuck With U","Ariana Grande & Justin Bieber"
"69","Blueberry Faygo","Lil Mosey"
"70","Savage","Megan Thee Stallion"
"71","Djadja","Aya Nakamura Featuring Maluma"
"72","Smile","Juice WRLD & The Weeknd"
"73","The Box","Roddy Ricch"
"74","Put Your Records On","Ritt Momney"
"75","Senorita","Shawn Mendes & Camila Cabello"
"76","24","Money Man Featuring Lil Baby"
"77","Adore You","Harry Styles"
"78","Rags2Riches","Rod Wave Featuring ATR Son Son"
"79","Shallow","Lady Gaga & Bradley Cooper"
"80","Memories","Maroon 5"
"81","You Got It","VEDO"
"82","I Hope","Gabby Barrett"
"83","Una Locura","Ozuna, J Balvin & Chencho Corleone"
"84","Shape Of You","Ed Sheeran"
"85","Mi Cuarto","Jerry Di"
"86","Party Girl","StaySolidRocky"
"87","Old Town Road","Lil Nas X Featuring Billy Ray Cyrus"
"88","Sicko Mode","Travis Scott"
